No,프로젝트,D/P&BOM 코드,D/P&BOM 내역,설계기능,도면종류,협력사,직영책임부서,작업 출도계획,작업 출도실적
2585,P3,DPBOM000001762,도장,F1,D1,,D1,2014-08-04,2014-07-21
2586,P3,DPBOM000001763,가공,F6,D2,,D3,2014-05-05,2014-05-05
2587,P3,DPBOM000001764,공작,F6,D4,,D3,2014-05-27,2014-05-27
2588,P3,DPBOM000001765,도장,F1,D1,,D1,2014-07-29,2014-07-21
2589,P3,DPBOM000001766,가공,F6,D2,,D3,2014-05-05,2014-05-05
2590,P3,DPBOM000001767,공작,F6,D4,,D3,2014-05-27,2014-05-27
2591,P3,DPBOM000001768,도장,F1,D1,,D1,2014-07-29,2014-07-21
2592,P3,DPBOM000001769,가공,F6,D2,,D3,2014-05-05,2014-05-05
2593,P3,DPBOM000001770,공작,F6,D4,,D3,2014-05-27,2014-05-27
2594,P3,DPBOM000001771,도장,F1,D1,,D1,2014-07-21,2014-07-21
2595,P3,DPBOM000001772,가공,F6,D2,,D3,2014-05-05,2014-05-05
2596,P3,DPBOM000001773,공작,F6,D4,,D3,2014-05-27,2014-05-27
2597,P3,DPBOM000001774,도장,F1,D1,,D1,2014-07-21,2014-07-21
2598,P3,DPBOM000001775,가공,F6,D2,,D3,2014-05-05,2014-05-05
2599,P3,DPBOM000001776,공작,F6,D4,,D3,2014-05-27,2014-05-27
2600,P3,DPBOM000001777,도장,F1,D1,,D1,2014-07-23,2014-07-21
2601,P3,DPBOM000001778,가공,F6,D2,,D3,2014-05-05,2014-05-05
2602,P3,DPBOM000001779,공작,F6,D4,,D3,2014-05-27,2014-05-27
2603,P3,DPBOM000001780,도장,F1,D1,,D1,2014-07-23,2014-07-21
2604,P3,DPBOM000001781,가공,F6,D2,,D3,2014-05-05,2014-05-05
2605,P3,DPBOM000001782,공작,F6,D4,,D3,2014-05-27,2014-05-27
2606,P3,DPBOM000001783,도장,F1,D1,,D1,2014-07-24,2014-07-21
2607,P3,DPBOM000001784,가공,F6,D2,,D3,2014-05-05,2014-05-05
2608,P3,DPBOM000001785,공작,F6,D4,,D3,2014-05-27,2014-05-27
2609,P3,DPBOM000001786,도장,F1,D1,,D1,2014-07-24,2014-07-21
2610,P3,DPBOM000001787,가공,F6,D2,,D3,2014-05-05,2014-05-05
2611,P3,DPBOM000001788,공작,F6,D4,,D3,2014-05-27,2014-05-27
2612,P3,DPBOM000001789,도장,F1,D1,,D1,2014-07-17,2014-07-21
2613,P3,DPBOM000001790,가공,F6,D2,,D3,2014-05-05,2014-05-05
2614,P3,DPBOM000001791,공작,F6,D4,,D3,2014-05-27,2014-05-27
2615,P3,DPBOM000001792,도장,F1,D1,,D1,2014-07-17,2014-07-21
2616,P3,DPBOM000001793,가공,F6,D2,,D3,2014-05-05,2014-05-05
2617,P3,DPBOM000001794,공작,F6,D4,,D3,2014-05-27,2014-05-27
2618,P3,DPBOM000001795,도장,F1,D1,,D1,2014-08-24,2014-07-21
2619,P3,DPBOM000001796,가공,F6,D2,,D3,2014-06-02,2014-06-02
2620,P3,DPBOM000001797,공작,F6,D4,,D3,2014-06-30,2014-06-30
2621,P3,DPBOM000001798,도장,F1,D1,,D1,2014-08-24,2014-07-21
2622,P3,DPBOM000001799,가공,F6,D2,,D3,2014-06-02,2014-06-02
2623,P3,DPBOM000001800,공작,F6,D4,,D3,2014-06-30,2014-06-30
