프로젝트,D/P&BOM 코드,D/P&BOM 내역,설계기능,도면종류,협력사,직영책임부서,작업 출도계획,작업 출도실적
P3,DPBOM000001466,가공,F2,D2,,D3,2014-06-18,2014-06-18
P3,DPBOM000001467,도장,F1,D1,,D1,2014-07-17,2014-07-21
P3,DPBOM000001468,가공,F2,D2,,D3,2014-06-05,2014-06-05
P3,DPBOM000001469,족장,F3,D3,D6,D4,2014-06-04,2014-06-03
P3,DPBOM000001470,재마킹,F4,D6,,D3,2014-06-04,2014-05-14
P3,DPBOM000001471,의장,F1,D8,,D1,2014-05-29,2014-05-29
P3,DPBOM000001472,공작,F2,D4,,D3,2014-06-04,2014-06-04
P3,DPBOM000001473,철의장,F2,D5,,D3,2014-04-16,2014-04-16
P3,DPBOM000001474,가공,F2,D2,,D3,2014-05-28,2014-05-28
P3,DPBOM000001475,가공,F2,D2,,D3,2014-05-27,2014-05-27
P3,DPBOM000001476,가공,F2,D2,,D3,2014-05-27,2014-05-27
P3,DPBOM000001478,가공,F4,D7,,D3,2014-05-27,2014-05-18
P3,DPBOM000001479,가공,F2,D2,,D3,2014-05-21,2014-05-21
P3,DPBOM000001481,가공,F4,D7,,D3,2014-05-21,2014-05-12
P3,DPBOM000001482,가공,F2,D2,,D3,2014-05-14,2014-05-14
P3,DPBOM000001484,가공,F4,D7,,D3,2014-05-14,2014-05-04
P3,DPBOM000000942,도장,F1,D1,,D1,2014-08-03,2014-07-21
P3,DPBOM000000312,가공,F2,D2,,D3,2014-06-17,2014-06-17
P3,DPBOM000000313,족장,F3,D3,D6,D4,2014-06-05,2014-06-03
P3,DPBOM000000945,의장,F1,D8,,D1,2014-06-01,2014-05-29
P3,DPBOM000000314,공작,F2,D4,,D3,2014-06-05,2014-06-05
P3,DPBOM000000315,철의장,F2,D5,,D3,2014-04-06,2014-04-06
P3,DPBOM000000316,가공,F2,D2,,D3,2014-05-29,2014-05-29
P3,DPBOM000000319,가공,F2,D2,,D3,2014-06-01,2014-06-01
P3,DPBOM000000947,가공,F2,D2,,D3,2014-06-01,2014-06-01
P3,DPBOM000001485,가공,F2,D2,,D3,2014-05-29,2014-05-29
P3,DPBOM000001486,가공,F4,D7,,D3,2014-05-29,2014-05-21
P3,DPBOM000001487,가공,F2,D2,,D3,2014-06-02,2014-06-02
P3,DPBOM000001488,가공,F4,D7,,D3,2014-06-02,2014-05-25
P3,DPBOM000000320,가공,F2,D2,,D3,2014-05-19,2014-05-19
P3,DPBOM000000321,가공,F2,D2,,D3,2014-05-15,2014-05-15
P3,DPBOM000001489,가공,F2,D2,,D3,2014-05-20,2014-05-19
P3,DPBOM000001490,가공,F2,D2,,D3,2014-05-22,2014-05-22
P3,DPBOM000001491,도장,F1,D1,,D1,2014-09-25,2014-07-21
P3,DPBOM000001492,가공,F2,D2,,D3,2014-08-28,2014-08-18
P3,DPBOM000001493,족장,F3,D3,D6,D4,2014-09-10,2014-07-06
P3,DPBOM000001494,공작,F2,D4,,D3,2014-09-18,2014-09-08
P3,DPBOM000001495,철의장,F2,D5,,D3,2014-07-31,2014-07-20
P3,DPBOM000001496,도장,F1,D1,,D1,2014-07-27,2014-07-21
P3,DPBOM000001497,가공,F2,D2,,D3,2014-06-22,2014-06-17
P3,DPBOM000001498,족장,F3,D3,D6,D4,2014-06-24,2014-06-19
P3,DPBOM000001499,재마킹,F4,D6,,D3,2014-06-24,2014-06-05
P3,DPBOM000001501,가공,F4,D7,,D3,2014-06-22,2014-06-19
P3,DPBOM000001502,의장,F1,D8,,D1,2014-06-18,2014-05-29
P3,DPBOM000001503,공작,F2,D4,,D3,2014-06-24,2014-06-23
P3,DPBOM000001504,철의장,F2,D5,,D3,2014-05-04,2014-04-23
P3,DPBOM000001505,가공,F2,D2,,D3,2014-05-28,2014-05-28
P3,DPBOM000001506,가공,F2,D2,,D3,2014-05-29,2014-05-29
P3,DPBOM000001508,가공,F4,D7,,D3,2014-05-29,2014-05-28
P3,DPBOM000001509,도장,F1,D1,,D1,2014-07-29,2014-07-21
P3,DPBOM000001510,가공,F2,D2,,D3,2014-07-02,2014-07-02
P3,DPBOM000001511,족장,F3,D3,D6,D4,2014-07-08,2014-07-06
P3,DPBOM000001512,재마킹,F4,D6,,D3,2014-07-08,2014-06-30
P3,DPBOM000001513,가공,F4,D7,,D3,2014-07-02,2014-06-30
P3,DPBOM000001514,의장,F1,D8,,D1,2014-07-02,2014-05-29
P3,DPBOM000001515,공작,F2,D4,,D3,2014-07-08,2014-07-07
P3,DPBOM000001516,철의장,F2,D5,,D3,2014-05-15,2014-05-14
P3,DPBOM000001517,가공,F2,D2,,D3,2014-06-16,2014-06-16
P3,DPBOM000001519,가공,F4,D7,,D3,2014-06-16,2014-06-15
P3,DPBOM000000956,도장,F1,D1,,D1,2014-08-26,2014-07-21
P3,DPBOM000000330,가공,F2,D2,,D3,2014-07-16,2014-07-16
P3,DPBOM000000331,족장,F3,D3,D6,D4,2014-07-24,2014-07-06
P3,DPBOM000000332,공작,F2,D4,,D3,2014-07-24,2014-07-24
P3,DPBOM000000333,철의장,F2,D5,,D3,2014-06-01,2014-05-29
P3,DPBOM000000334,가공,F2,D2,,D3,2014-07-09,2014-07-07
P3,DPBOM000000335,가공,F2,D2,,D3,2014-07-06,2014-07-06
P3,DPBOM000000964,도장,F1,D1,,D1,2014-08-21,2014-07-21
P3,DPBOM000000340,가공,F2,D2,,D3,2014-07-21,2014-07-20
P3,DPBOM000000341,족장,F3,D3,D6,D4,2014-07-06,2014-07-06
P3,DPBOM000001520,가공,F4,D7,,D3,2014-07-21,2014-07-16
P3,DPBOM000000342,공작,F2,D4,,D3,2014-07-06,2014-07-06
P3,DPBOM000000343,철의장,F2,D5,,D3,2014-05-15,2014-05-14
P3,DPBOM000000344,가공,F2,D2,,D3,2014-07-08,2014-07-08
P3,DPBOM000000345,가공,F2,D2,,D3,2014-07-13,2014-07-13
P3,DPBOM000001521,가공,F2,D2,,D3,2014-07-08,2014-07-08
P3,DPBOM000000348,가공,F2,D2,,D3,2014-06-12,2014-06-12
P3,DPBOM000001522,도장,F1,D1,,D1,2014-08-21,2014-07-21
P3,DPBOM000000349,가공,F2,D2,,D3,2014-07-17,2014-07-16
P3,DPBOM000000350,족장,F3,D3,D6,D4,2014-07-06,2014-07-06
P3,DPBOM000001523,가공,F4,D7,,D3,2014-07-17,2014-07-16
P3,DPBOM000001524,의장,F1,D8,,D1,2014-06-30,2014-05-29
P3,DPBOM000000351,공작,F2,D4,,D3,2014-07-06,2014-07-03
P3,DPBOM000000352,철의장,F2,D5,,D3,2014-05-15,2014-05-07
P3,DPBOM000000353,가공,F2,D2,,D3,2014-07-02,2014-06-30
P3,DPBOM000001525,가공,F2,D2,,D3,2014-07-07,2014-06-22
P3,DPBOM000001526,가공,F2,D2,,D3,2014-06-12,2014-06-11
P3,DPBOM000001527,도장,F1,D1,,D1,2014-08-04,2014-07-21
P3,DPBOM000001528,가공,F2,D2,,D3,2014-07-17,2014-07-17
P3,DPBOM000001529,족장,F3,D3,D6,D4,2014-07-23,2014-07-06
P3,DPBOM000001530,재마킹,F4,D6,,D3,2014-07-23,2014-07-13
P3,DPBOM000001531,의장,F1,D8,,D1,2014-07-17,2014-05-29
P3,DPBOM000001532,공작,F2,D4,,D3,2014-07-23,2014-07-22
P3,DPBOM000001533,철의장,F2,D5,,D3,2014-05-26,2014-05-26
P3,DPBOM000001534,가공,F2,D2,,D3,2014-07-01,2014-07-01
P3,DPBOM000001536,가공,F4,D7,,D3,2014-07-01,2014-06-19
P3,DPBOM000001537,도장,F1,D1,,D1,2014-09-07,2014-07-21
P3,DPBOM000001538,가공,F2,D2,,D3,2014-07-23,2014-07-23
P3,DPBOM000001539,족장,F3,D3,D6,D4,2014-08-05,2014-07-06
P3,DPBOM000001540,공작,F2,D4,,D3,2014-08-05,2014-08-05
P3,DPBOM000001541,철의장,F2,D5,,D3,2014-06-02,2014-06-01
P3,DPBOM000001542,가공,F2,D2,,D3,2014-07-14,2014-07-14
P3,DPBOM000001543,도장,F1,D1,,D1,2014-10-07,2014-07-21
P3,DPBOM000001544,가공,F2,D2,,D3,2014-09-09,2014-09-09
P3,DPBOM000001545,족장,F3,D3,D6,D4,2014-09-18,2014-07-06
P3,DPBOM000001546,공작,F2,D4,,D3,2014-09-30,2014-09-29
P3,DPBOM000001547,철의장,F2,D5,,D3,2014-08-18,2014-08-07
P3,DPBOM000001548,도장,F1,D1,,D1,2014-10-08,2014-07-21
P3,DPBOM000001549,가공,F2,D2,,D3,2014-09-10,2014-09-10
P3,DPBOM000001550,공작,F2,D4,,D3,2014-10-01,2014-09-30
P3,DPBOM000001551,철의장,F2,D5,,D3,2014-08-19,2014-08-10
P3,DPBOM000001552,도장,F1,D1,,D1,2014-10-13,2014-07-21
P3,DPBOM000001553,가공,F2,D2,,D3,2014-09-14,2014-09-14
P3,DPBOM000001554,족장,F3,D3,D6,D4,2014-09-28,2014-07-06
P3,DPBOM000001555,공작,F2,D4,,D3,2014-10-05,2014-09-29
P3,DPBOM000001556,철의장,F2,D5,,D3,2014-09-16,2014-09-15
P3,DPBOM000000972,도장,F1,D1,,D1,2014-09-28,2014-07-21
P3,DPBOM000000357,가공,F2,D2,,D3,2014-08-26,2014-08-19
P3,DPBOM000000359,재마킹,F4,D6,,D3,2014-08-20,2014-07-24
